"train/global_step","Spath_len_fast_5shot - eval_mae","Spath_len_fast_5shot - eval_mae__MIN","Spath_len_fast_5shot - eval_mae__MAX","Spath_len_fast_5shot - _step","Spath_len_fast_5shot - _step__MIN","Spath_len_fast_5shot - _step__MAX"
"51","10.141176470588235","10.141176470588235","10.141176470588235","54","54","54"
"101","10.505882352941176","10.505882352941176","10.505882352941176","108","108","108"
"151","9.51764705882353","9.51764705882353","9.51764705882353","162","162","162"
"201","8.858823529411765","8.858823529411765","8.858823529411765","216","216","216"
"251","9","9","9","270","270","270"
"301","8.882352941176471","8.882352941176471","8.882352941176471","324","324","324"
"351","9.176470588235293","9.176470588235293","9.176470588235293","378","378","378"
"401","9.211764705882352","9.211764705882352","9.211764705882352","432","432","432"
"451","9.16470588235294","9.16470588235294","9.16470588235294","486","486","486"
"501","8.764705882352942","8.764705882352942","8.764705882352942","540","540","540"
"551","8.035294117647059","8.035294117647059","8.035294117647059","594","594","594"
"601","8.647058823529411","8.647058823529411","8.647058823529411","648","648","648"
"651","8.541176470588235","8.541176470588235","8.541176470588235","702","702","702"
"701","8.635294117647058","8.635294117647058","8.635294117647058","756","756","756"
"751","8.08235294117647","8.08235294117647","8.08235294117647","810","810","810"
"801","8.423529411764706","8.423529411764706","8.423529411764706","864","864","864"
"851","9.058823529411764","9.058823529411764","9.058823529411764","918","918","918"
"901","9.329411764705883","9.329411764705883","9.329411764705883","972","972","972"
"951","8.223529411764705","8.223529411764705","8.223529411764705","1026","1026","1026"
"1001","8.31764705882353","8.31764705882353","8.31764705882353","1080","1080","1080"
"1051","8.452380952380953","8.452380952380953","8.452380952380953","1134","1134","1134"
"1101","8.823529411764707","8.823529411764707","8.823529411764707","1188","1188","1188"
"1151","7.705882352941177","7.705882352941177","7.705882352941177","1242","1242","1242"
"1201","7.5058823529411764","7.5058823529411764","7.5058823529411764","1296","1296","1296"
"1251","7.694117647058824","7.694117647058824","7.694117647058824","1350","1350","1350"
"1301","6.964705882352941","6.964705882352941","6.964705882352941","1404","1404","1404"
"1351","7.470588235294118","7.470588235294118","7.470588235294118","1458","1458","1458"
"1401","7.482352941176471","7.482352941176471","7.482352941176471","1512","1512","1512"
"1451","7.376470588235295","7.376470588235295","7.376470588235295","1566","1566","1566"
"1501","7.8352941176470585","7.8352941176470585","7.8352941176470585","1620","1620","1620"
"1551","7.7176470588235295","7.7176470588235295","7.7176470588235295","1674","1674","1674"
"1601","7.91764705882353","7.91764705882353","7.91764705882353","1728","1728","1728"
"1651","8.176470588235293","8.176470588235293","8.176470588235293","1782","1782","1782"
"1701","7.635294117647059","7.635294117647059","7.635294117647059","1836","1836","1836"
"1751","7.823529411764706","7.823529411764706","7.823529411764706","1890","1890","1890"
"1801","7.788235294117647","7.788235294117647","7.788235294117647","1944","1944","1944"
"1851","8.305882352941177","8.305882352941177","8.305882352941177","1998","1998","1998"
"1901","7.447058823529412","7.447058823529412","7.447058823529412","2052","2052","2052"
"1951","6.952941176470588","6.952941176470588","6.952941176470588","2106","2106","2106"
"2001","8.294117647058824","8.294117647058824","8.294117647058824","2160","2160","2160"
"2051","8.658823529411764","8.658823529411764","8.658823529411764","2214","2214","2214"
"2101","7.647058823529412","7.647058823529412","7.647058823529412","2268","2268","2268"
"2151","8.011764705882353","8.011764705882353","8.011764705882353","2322","2322","2322"
"2201","7.870588235294117","7.870588235294117","7.870588235294117","2376","2376","2376"
"2251","7.564705882352941","7.564705882352941","7.564705882352941","2430","2430","2430"
"2301","6.447058823529412","6.447058823529412","6.447058823529412","2484","2484","2484"
"2351","6.8352941176470585","6.8352941176470585","6.8352941176470585","2538","2538","2538"
"2401","6.9411764705882355","6.9411764705882355","6.9411764705882355","2592","2592","2592"
"2451","6.929411764705883","6.929411764705883","6.929411764705883","2646","2646","2646"
"2501","6.776470588235294","6.776470588235294","6.776470588235294","2700","2700","2700"
"2551","6.564705882352941","6.564705882352941","6.564705882352941","2754","2754","2754"
"2601","6.458823529411765","6.458823529411765","6.458823529411765","2808","2808","2808"
"2651","7.6117647058823525","7.6117647058823525","7.6117647058823525","2862","2862","2862"
"2701","7.8352941176470585","7.8352941176470585","7.8352941176470585","2916","2916","2916"
"2751","8.423529411764706","8.423529411764706","8.423529411764706","2970","2970","2970"
"2801","8.070588235294117","8.070588235294117","8.070588235294117","3024","3024","3024"
"2851","7.729411764705882","7.729411764705882","7.729411764705882","3078","3078","3078"
"2901","8.023529411764706","8.023529411764706","8.023529411764706","3132","3132","3132"
"2951","7.647058823529412","7.647058823529412","7.647058823529412","3186","3186","3186"
"3001","7.529411764705882","7.529411764705882","7.529411764705882","3240","3240","3240"
"3051","7.329411764705882","7.329411764705882","7.329411764705882","3294","3294","3294"
"3101","7.247058823529412","7.247058823529412","7.247058823529412","3348","3348","3348"
"3151","7.458823529411765","7.458823529411765","7.458823529411765","3402","3402","3402"
"3201","7.035294117647059","7.035294117647059","7.035294117647059","3456","3456","3456"
"3251","7.905882352941177","7.905882352941177","7.905882352941177","3510","3510","3510"
"3301","7.776470588235294","7.776470588235294","7.776470588235294","3564","3564","3564"
"3351","7.411764705882353","7.411764705882353","7.411764705882353","3618","3618","3618"
"3401","7.435294117647059","7.435294117647059","7.435294117647059","3672","3672","3672"
"3451","7.9411764705882355","7.9411764705882355","7.9411764705882355","3726","3726","3726"
"3501","7.305882352941176","7.305882352941176","7.305882352941176","3780","3780","3780"
"3551","7.305882352941176","7.305882352941176","7.305882352941176","3834","3834","3834"
"3601","6.564705882352941","6.564705882352941","6.564705882352941","3888","3888","3888"
"3651","7.247058823529412","7.247058823529412","7.247058823529412","3942","3942","3942"
"3701","7.2","7.2","7.2","3996","3996","3996"
