"train/global_step","Spath_len_fast_5shot - eval_mae","Spath_len_fast_5shot - eval_mae__MIN","Spath_len_fast_5shot - eval_mae__MAX","Spath_len_fast_5shot - _step","Spath_len_fast_5shot - _step__MIN","Spath_len_fast_5shot - _step__MAX"
"3751","7.317647058823529","7.317647058823529","7.317647058823529","4050","4050","4050"
"3801","6.870588235294117","6.870588235294117","6.870588235294117","4104","4104","4104"
"3851","6.988235294117647","6.988235294117647","6.988235294117647","4158","4158","4158"
"3901","7.5058823529411764","7.5058823529411764","7.5058823529411764","4212","4212","4212"
"3951","7.129411764705883","7.129411764705883","7.129411764705883","4266","4266","4266"
"4001","6.9411764705882355","6.9411764705882355","6.9411764705882355","4320","4320","4320"
"4051","7.129411764705883","7.129411764705883","7.129411764705883","4374","4374","4374"
"4101","6.811764705882353","6.811764705882353","6.811764705882353","4428","4428","4428"
"4151","7.317647058823529","7.317647058823529","7.317647058823529","4482","4482","4482"
"4201","6.882352941176471","6.882352941176471","6.882352941176471","4536","4536","4536"
"4251","6.141176470588236","6.141176470588236","6.141176470588236","4590","4590","4590"
"4301","5.8","5.8","5.8","4644","4644","4644"
"4351","6.658823529411765","6.658823529411765","6.658823529411765","4698","4698","4698"
"4401","7.047058823529412","7.047058823529412","7.047058823529412","4752","4752","4752"
"4451","6.588235294117647","6.588235294117647","6.588235294117647","4806","4806","4806"
"4501","6.0588235294117645","6.0588235294117645","6.0588235294117645","4860","4860","4860"
"4551","5.788235294117647","5.788235294117647","5.788235294117647","4914","4914","4914"
"4601","6.317647058823529","6.317647058823529","6.317647058823529","4968","4968","4968"
"4651","6.08235294117647","6.08235294117647","6.08235294117647","5022","5022","5022"
"4701","6","6","6","5076","5076","5076"
"4751","6.423529411764706","6.423529411764706","6.423529411764706","5130","5130","5130"
"4801","5.8352941176470585","5.8352941176470585","5.8352941176470585","5184","5184","5184"
"4851","6.223529411764706","6.223529411764706","6.223529411764706","5238","5238","5238"
"4901","5.823529411764706","5.823529411764706","5.823529411764706","5292","5292","5292"
"4951","6.3882352941176475","6.3882352941176475","6.3882352941176475","5346","5346","5346"
"5001","5.588235294117647","5.588235294117647","5.588235294117647","5400","5400","5400"
"5051","6.435294117647059","6.435294117647059","6.435294117647059","5454","5454","5454"
"5101","6.035294117647059","6.035294117647059","6.035294117647059","5508","5508","5508"
"5151","6.3882352941176475","6.3882352941176475","6.3882352941176475","5562","5562","5562"
"5201","5.7176470588235295","5.7176470588235295","5.7176470588235295","5616","5616","5616"
"5251","5.623529411764705","5.623529411764705","5.623529411764705","5670","5670","5670"
"5301","5.776470588235294","5.776470588235294","5.776470588235294","5724","5724","5724"
"5351","7.129411764705883","7.129411764705883","7.129411764705883","5778","5778","5778"
